BRA;BR-AC;Rio Branco
BRA;BR-AC;Cruzeiro do Sul
BRA;BR-AC;Sena Madureira
BRA;BR-AC;Tarauacá
BRA;BR-AL;Maceió
BRA;BR-AL;Arapiraca
BRA;BR-AL;Palmeira dos Índios
BRA;BR-AL;Rio Largo
BRA;BR-AP;Macapá
BRA;BR-AP;Santana
BRA;BR-AM;Manaus
BRA;BR-AM;Parintins
BRA;BR-AM;Itacoatiara
BRA;BR-AM;Tefé
BRA;BR-AM;Coari
BRA;BR-BA;Salvador
BRA;BR-BA;Feira de Santana
BRA;BR-BA;Vitória da Conquista
BRA;BR-BA;Camaçari
BRA;BR-BA;Itabuna
BRA;BR-BA;Ilhéus
BRA;BR-BA;Porto Seguro
BRA;BR-BA;Jequié
BRA;BR-BA;Lauro de Freitas
BRA;BR-BA;Barreiras
BRA;BR-BA;Paulo Afonso
BRA;BR-CE;Fortaleza
BRA;BR-CE;Caucaia
BRA;BR-CE;Sobral
BRA;BR-CE;Juazeiro do Norte
BRA;BR-CE;Maracanaú
BRA;BR-CE;Crato
BRA;BR-CE;Quixadá
BRA;BR-DF;Brasília
BRA;BR-ES;Vitória
BRA;BR-ES;Vila Velha
BRA;BR-ES;Serra
BRA;BR-ES;Cariacica
BRA;BR-ES;Guarapari
BRA;BR-GO;Goiânia
BRA;BR-GO;Anápolis
BRA;BR-GO;Aparecida de Goiânia
BRA;BR-GO;Rio Verde
BRA;BR-GO;Luziânia
BRA;BR-GO;Itumbiara
BRA;BR-MA;São Luís
BRA;BR-MA;Imperatriz
BRA;BR-MA;Caxias
BRA;BR-MA;Timon
BRA;BR-MA;Codó
BRA;BR-MA;Paço do Lumiar
BRA;BR-MA;Açailândia
BRA;BR-MG;Belo Horizonte
BRA;BR-MG;Contagem
BRA;BR-MG;Betim
BRA;BR-MG;Uberlândia
BRA;BR-MG;Juiz de Fora
BRA;BR-MG;Montes Claros
BRA;BR-MG;Governador Valadares
BRA;BR-MG;Ipatinga
BRA;BR-MG;Uberaba
BRA;BR-MG;Poços de Caldas
BRA;BR-MG;Sete Lagoas
BRA;BR-MS;Campo Grande
BRA;BR-MS;Dourados
BRA;BR-MS;Três Lagoas
BRA;BR-MS;Corumbá
BRA;BR-MS;Ponta Porã
BRA;BR-MT;Cuiabá
