JPN;JP-01;Hokkaido
JPN;JP-02;Aomori
JPN;JP-03;Iwate
JPN;JP-04;Miyagi
JPN;JP-05;Akita
JPN;JP-06;Yamagata
JPN;JP-07;Fukushima
JPN;JP-08;Ibaraki
JPN;JP-09;Tochigi
JPN;JP-10;Gunma
JPN;JP-11;Saitama
JPN;JP-12;Chiba
JPN;JP-13;Tokyo
JPN;JP-14;Kanagawa
JPN;JP-15;Niigata
JPN;JP-16;Toyama
JPN;JP-17;Ishikawa
JPN;JP-18;Fukui
JPN;JP-19;Yamanashi
JPN;JP-20;Nagano
JPN;JP-21;Gifu
JPN;JP-22;Shizuoka
JPN;JP-23;Aichi
JPN;JP-24;Mie
JPN;JP-25;Shiga
JPN;JP-26;Kyoto
JPN;JP-27;Osaka
JPN;JP-28;Hyogo
JPN;JP-29;Nara
JPN;JP-30;Wakayama
JPN;JP-31;Tottori
JPN;JP-32;Shimane
JPN;JP-33;Okayama
JPN;JP-34;Hiroshima
JPN;JP-35;Yamaguchi
JPN;JP-36;Tokushima
JPN;JP-37;Kagawa
JPN;JP-38;Ehime
JPN;JP-39;Kochi
JPN;JP-40;Fukuoka
JPN;JP-41;Saga
JPN;JP-42;Nagasaki
JPN;JP-43;Kumamoto
JPN;JP-44;Oita
JPN;JP-45;Miyazaki
JPN;JP-46;Kagoshima
JPN;JP-47;Okinawa
