Աբազյան
Կալդրիկյան
Կալենց
Կալպակչյան
Կամսարյան
Կամսարյանց
Կայֆեջյան
Կաշեգործյան
Կարագյան
Կարախանյան
Կարամանուկյան
Կարապետյան
Կարճիկյան
Կետիկյան
Կոթողյան
Կոնդախչյան
Կոշկակարյան
Կոստանյան
Կույումջանյան
Կրպեյան
Հալաբյան
Հախվերդյան
Հակոբյան
Համբարձումյան
Հայրապետյան
Հայրբաբամյան
Հայրիկյան
Հաջինյան
Հատիկյան
Հարությունյան
Հովասափյան
Հովիվյան
Հովհաննիսյան
Հովսեփյան
Հովսեփով
Հուրդաջյան
Ձավարյան
Ձիթողցյան
Ձիլֆուղարյան
Ձկնորսյան
Ձվակերյան
Ղաբզիմալյան
Ղազախեթյան
Ղազանչյան
Ղազարյան
Ղազարով
Ղազինյան
Ղալդունց
Ղալթախչյան
Ղահրամանյան
Ղամբարյան
Ղայլունջյան
Ղայֆեճյան
Ղանդիլյան
Ղասաբյան
Ղասաբօղլյան
Ղափլանյան
Ղոլթաղչյան
Ճալտիկյան
Ճաղարյան
Ճանճապանյան
Ճանսուզյան
Ճապաղջուրյան
Ճգնավորյան
Ճենեպերեքյան
Ճիվասզյան
Ճոճկանյան
Ճուղուրյան
Մադաթյան
Մազմանյան
Մանանդյան
Մանուկյան
Մանվելյան
Մարաշյան
Մարգարյան
Մելիք-Աբրահամյան
Մելիք-Ադամյան
Մելիք-Ասլանյան
Մելիք-Բարխուդարյան
Մելիք-Օհանջանյան
Մեհրաբյան
Միկոյան
Մինասբեկյան
Մինասյան
Միսակյան
Միրզոյան
Միրզոյանց
Միքայելյան
Մխիթարյան
Մնացականյան
Մշեցյան
Մոսինյան
Մովսիսյան
Մուշեղյան
Մուշկամբարյան
Մուսայելյան
Մուրադյան
Մսագործյան
Մսրյան
Յաբլուկյան
Յագուբյան
Յազիչյան
Յաղլիճյան
Յոգուրթչյան
Յուզբաշյան
Յություճյան
Նաբաթյան
Նազարյան
Նալբանդյան
Նալչադյան
Նախշքարյան
Նահապետյան
Ներկարարյան
Ներսեսյան
Ներսիսյան
Նիկողոսյան
Նշանյան
Շաբոյան
Շաբունց
Շագոյան
Շալավասյան
Շահազիզյան
Շահբազյան
Շահինյան
Շահինյանց
Շահնազարյան
Շարաբխանյան
Շաքարյան
Շաքրամանյան
Շելունց
Շուքուրյան
Ոսկանյան
Ոսկերչյան
Ուզանկիչյան
Ուզունյան
Ութմազյան
Ուլիխանյան
Ուլուբաբյան
Ուստաբաշյան
Ուրֆալյան
Չալիկյան
Չալխիֆալակյան
Չալոյան
Չախմախչյան
Չեմեդիկյան
Չեպչյան
Չեքիջյան
Չիբուխչյան
Չիլինգարյան
Չիվչյան
Չոբանյան
Պալյան
Պապայան
Պապիկյան
Պապոյան
Պառավյան
Պարոնիկյան
Պարոնյան
Պարոնյանց
Պարսամյան
Պետրոսյան
Պետրոսյանց
Պերեճիկլյան
Պոզապալյան
Պողոսյան
Պողպատյան
Պռոշյան
Պստիկյան
Ջալալբեկյան
Ջանավարյան
Ջանգիրյան
Ջանիբեկյան
Ջանունց
Ջանջուղազյան
Ջանփոլադյան
Ջերեջյան
Ջիգարխանյան
Ջուլֆիղարյան
Ռաշիդյան
Ռասիմոսյան
Ռշտունի
Ռոստոմյան
Ռուբինյան
Ռուստամյան
Ռուստամյանց
Ռևազյան
Սադոյան
Սաթյան
Սալբաշյան
Սահակյան
Սանթրոսյան
Սանոյան
Սարգսյան
Սարխոյան
Սարոյան
Սաֆարյան
Սեմերջյան
Սիմոնյան
Սիսոյան
Սիրունյան
Սոլախյան
Սողոմոնյան
Սուրմելյան
Սուփրիկյան
Սուքիասյան
Ստեփանյան
Սրմաքեշյան
Վազիգեղցյան
Վահանյան
Վահունի
Վանեցյան
Վանյան
Վարդապետյան
Վարդերեսյան
Վարոսյան
Վարպետյան
Վերանյան
Վրացյան
Տաճատյան
Տասնապետյան
Տարոնցյան
Տեր-Գևորգյան
Տեր-Հովհաննիսյան
Տեր-Ղազարյան
Տեր-Վահանյան
Տոնոյան
Տոպաջիկյան
Տուղրեմաճյան
Ցախկլորյան
Ցիպլեցյան
Ցոլակյան
Ցրտատարյան
Փալանդուզյան
Փախչանյան
Փահլևանյան
Փամբուխչյան
Փամբուկչյան
Փայլաբազյան
Փանոսյան
Փաշայան
Փաշինյան
Փարաջանյան
Փարաքեսիկյան
Փարսադանյան
Փափազյան
Փիլիփոսյան
Փոքրիկյան
Քաթանասյան
Քալանթարյան
Քալաշյան
Քաղցրիկյան
Քարտաշյան
Քափանակցյան
Քեշիշյան
Քեչօղլյան
Քիլարջյան
Քյոսայան
Քոչարյան
Քոչինյան
Քուշքյան
Քրմոյան
Քրքորյան
Օդյան
Օզանյան
Օզնեցյան
Օհանյան
Օրբելյան
Ֆալյան
Ֆահրադյան
Ֆոլյան
Ֆռանգյան
Ֆրանգուլյան
